typo,correct
pubilc,public
pubwic,public
ublic,public
publpic,public
lublic,public
cublip,public
oublic,public
publlic,public
pjblic,public
plbuic,public
publicw,public
publicc,public
Public,public
pubic,public
puBlic,public
pubtic,public
pibluc,public
puboic,public
pubLic,public
pbulic,public
pqblic,public
apublic,public
publio,public
upblic,public
publiC,public
puiblic,public
publiv,public
wublic,public
publgc,public
publoic,public
pUblic,public
publiic,public
pulbic,public
pubcil,public
publIc,public
pulic,public
publiuc,public
publiq,public
pubglic,public
phblic,public
clsas,class
bclass,class
lcass,class
classy,class
cass,class
slacs,class
cclass,class
classa,class
clas,class
Class,class
clAss,class
clss,class
cllass,class
classs,class
rlass,class
coass,class
claass,class
cxlass,class
cluss,class
csals,class
classu,class
clazs,class
classm,class
flass,class
cxass,class
cpass,class
claws,class
clasxs,class
clasx,class
ckass,class
clsss,class
classw,class
clasw,class
ceass,class
calss,class
hlass,class
clkass,class
clasd,class
kclass,class
dlass,class
ctatis,static
staoic,static
sTatic,static
stattic,static
staticp,static
stAtic,static
stagic,static
tatic,static
stacit,static
statc,static
scatit,static
ttasic,static
sattic,static
statfic,static
stafic,static
staitc,static
sttatic,static
staic,static
stctia,static
siattc,static
staticc,static
satatic,static
stati,static
stajic,static
statig,static
stitac,static
statrc,static
statoc,static
staric,static
tsatic,static
statiic,static
stztic,static
Static,static
sstatic,static
statiC,static
statica,static
staTic,static
sttic,static
statci,static
stfatic,static
vaid,void
voif,void
vowd,void
voidc,void
voidd,void
ovid,void
voi,void
vcoid,void
voids,void
vod,void
vood,void
vid,void
vxid,void
oid,void
voidx,void
vgoid,void
ioid,void
vwid,void
vvoid,void
voiid,void
vodi,void
goid,void
voip,void
Void,void
voiv,void
vOid,void
vopid,void
voiD,void
gvoid,void
vboid,void
boid,void
vokid,void
doiv,void
voId,void
vkid,void
vfoid,void
joid,void
voidr,void
vooid,void
viod,void
maIn,main
maiu,main
mawin,main
min,main
mnia,main
maiun,main
maiin,main
nain,main
maiN,main
mian,main
maie,main
amin,main
imain,main
kain,main
cain,main
mainh,main
mAin,main
mmain,main
maion,main
naim,main
maqin,main
mai,main
jain,main
muin,main
maain,main
man,main
maim,main
qain,main
maib,main
maijn,main
mani,main
rmain,main
tmain,main
mwin,main
mgin,main
ain,main
mainm,main
mjain,main
mqin,main
mainn,main
Steing,String
Srting,String
tSring,String
Stringg,String
Strikng,String
Stripg,String
STring,String
Sttring,String
Stding,String
Styring,String
Wtring,String
StRing,String
Sirtng,String
Streing,String
Stging,String
Strinv,String
Spring,String
Strig,String
SString,String
Strring,String
Strgni,String
Strinhg,String
Strint,String
Stryng,String
tring,String
Stirng,String
Stning,String
Stribg,String
Strfing,String
Striig,String
Stringf,String
Strign,String
Stping,String
StriNg,String
Strnig,String
Stginr,String
Strng,String
string,String
Strting,String
Srring,String
vf,if
iff,if
of,if
kf,if
ir,if
nf,if
ijf,if
rf,if
ig,if
iv,if
kif,if
yif,if
ic,if
ifc,if
i,if
ift,if
it,if
ih,if
sif,if
jf,if
uf,if
ef,if
f,if
pif,if
If,if
qif,if
uif,if
ikf,if
ifd,if
iof,if
id,if
iif,if
ifv,if
df,if
ifg,if
dif,if
qf,if
ii,if
fi,if
iF,if
elseb,else
epse,else
eles,else
elsn,else
elsq,else
elsde,else
ekse,else
dlse,else
ecse,else
qlse,else
delse,else
elss,else
els,else
esle,else
ellse,else
eLse,else
elsw,else
lese,else
edlse,else
elae,else
ele,else
Else,else
elsv,else
elser,else
elses,else
elde,else
elose,else
elsee,else
lse,else
elpse,else
elsse,else
eelse,else
elsE,else
slee,else
elwe,else
ese,else
elsr,else
elSe,else
erse,else
slse,else
ford,for
fow,for
foz,for
fro,for
fbr,for
ffor,for
fur,for
foo,for
folr,for
fod,for
foR,for
fvr,for
fir,for
For,for
fcor,for
bor,for
fr,for
forr,for
fOr,for
wfor,for
dfor,for
foor,for
fdor,for
fort,for
forf,for
fqr,for
or,for
foi,for
cor,for
fo,for
vor,for
dor,for
fcr,for
fob,for
rof,for
fof,for
fnr,for
fgor,for
fol,for
ofr,for
hile,while
whle,while
hwile,while
ihwle,while
vwhile,while
wheli,while
whil,while
wlihe,while
whikle,while
whhile,while
whiloe,while
wHile,while
whtle,while
whiLe,while
whilee,while
wrile,while
wahile,while
whiel,while
whiler,while
whie,while
whilr,while
ghile,while
whijle,while
wile,while
whille,while
whjile,while
lhiwe,while
whilew,while
ehilw,while
whiile,while
whixe,while
wshile,while
wehile,while
wqhile,while
whyile,while
wihle,while
whioe,while
whIle,while
awhile,while
whlie,while
returN,return
retuirn,return
retjrn,return
returnn,return
reutrn,return
rEturn,return
retuurn,return
deturn,return
rerutn,return
eeturn,return
reTurn,return
retutn,return
returt,return
erturn,return
eturn,return
rteurn,return
reeturn,return
retuen,return
reurn,return
rturn,return
retudn,return
neturr,return
returo,return
mreturn,return
Return,return
retUrn,return
retun,return
returj,return
renurt,return
returc,return
returrn,return
returnj,return
retturn,return
rrtuen,return
retrun,return
retnru,return
rmturn,return
reyurn,return
retunr,return
rwturn,return
ibt,int
iht,int
intf,int
inbt,int
nit,int
igt,int
znt,int
injt,int
iknt,int
iNt,int
intj,int
iot,int
inr,int
intg,int
gint,int
intp,int
inp,int
iint,int
it,int
ink,int
inT,int
inf,int
nt,int
inmt,int
inq,int
sint,int
intt,int
unt,int
innt,int
jnt,int
itn,int
knt,int
iunt,int
Int,int
tnt,int
tni,int
inv,int
rnt,int
qnt,int
bint,int
floaat,float
fllat,float
floaT,float
flpoat,float
faolt,float
nloat,float
fnoat,float
ffloat,float
flooat,float
floatf,float
floa,float
flopat,float
floazt,float
aloft,float
tloaf,float
fboat,float
fsoat,float
loat,float
flozt,float
olfat,float
fload,float
flota,float
zloat,float
flOat,float
lfoat,float
yloat,float
floatt,float
rloat,float
floaj,float
flaot,float
kloat,float
foat,float
flloat,float
fdloat,float
floAt,float
Float,float
sfloat,float
oloat,float
flat,float
folat,float
booolean,boolean
booilean,boolean
booLean,boolean
booleah,boolean
uoolean,boolean
mboolean,boolean
boooean,boolean
boomean,boolean
booleank,boolean
tboolean,boolean
noolean,boolean
bovlean,boolean
booleaN,boolean
boplean,boolean
boolen,boolean
boolpean,boolean
booleanl,boolean
boocean,boolean
bolean,boolean
boolEan,boolean
booleanx,boolean
boollean,boolean
booneal,boolean
eoolban,boolean
Boolean,boolean
booledan,boolean
booleean,boolean
oolean,boolean
boopean,boolean
booklean,boolean
obolean,boolean
boolaen,boolean
boolan,boolean
booean,boolean
boOlean,boolean
boolkean,boolean
nooleab,boolean
booleAn,boolean
bkolean,boolean
boolena,boolean
trey,try
trb,try
gtry,try
ry,try
tdy,try
trry,try
tmy,try
tyy,try
twy,try
tyr,try
tgry,try
tr,try
ttry,try
tryg,try
kry,try
tRy,try
fry,try
tryy,try
tsy,try
trv,try
tru,try
trz,try
Try,try
rry,try
gry,try
tri,try
trh,try
itry,try
tty,try
trm,try
bry,try
tryu,try
mry,try
tey,try
rty,try
trg,try
ptry,try
ty,try
trY,try
yrt,try
catchh,catch
caich,catch
vatch,catch
caqtch,catch
catrch,catch
catchj,catch
rcatch,catch
catchb,catch
Catch,catch
catcH,catch
caTch,catch
catc,catch
catca,catch
actch,catch
jcatch,catch
cacth,catch
ctch,catch
cwtch,catch
ctach,catch
catCh,catch
cagch,catch
cktch,catch
cakch,catch
ccatch,catch
atch,catch
chtca,catch
bcatch,catch
cAtch,catch
fatch,catch
cathc,catch
cattch,catch
catvh,catch
catdh,catch
cath,catch
catxh,catch
catcu,catch
cach,catch
cstch,catch
cafch,catch
hatcc,catch
iport,import
imptro,import
impoort,import
imlort,import
importy,import
impOrt,import
idport,import
impotr,import
simport,import
imoprt,import
imporr,import
impolrt,import
omport,import
impoyt,import
impert,import
impodt,import
impoRt,import
imporT,import
imropt,import
iimport,import
wmport,import
itporm,import
imprt,import
imporv,import
ijport,import
miport,import
impordt,import
imporg,import
imort,import
imporrt,import
impport,import
impkrt,import
rmpoit,import
ikport,import
immport,import
importt,import
imtorp,import
ipmort,import
kimport,import
impor,import
paxkage,package
packagex,package
pacnage,package
pacckage,package
packagfe,package
lackage,package
paackage,package
pgckaae,package
pckage,package
packoage,package
packagE,package
apckage,package
aackpge,package
packagw,package
packaye,package
packge,package
packAge,package
packahe,package
packwge,package
paceagk,package
